Date,Product Category,Quantity Sold,Price per Unit,Total Price
01/01/2022,Food,3,36.5,109.5
01/01/2022,Furniture,4,12.5,50
01/01/2022,Milk Products,5,12.5,62.5
01/01/2022,Beverages,5,15.5,77.5
01/01/2022,Computers and electric accessories,6,12.5,75
01/01/2022,Computers and electric accessories,6,12.5,75
01/01/2022,Butchers,6,39.5,237
01/01/2022,Milk Products,7,9.5,66.5
01/01/2022,Butchers,7,33.5,234.5
01/01/2022,Food,10,30.5,305
01/01/2022,Electric household essentials,10,35,350
02/01/2022,Patisserie,1,23,23
02/01/2022,Butchers,2,5,10
02/01/2022,Beverages,2,41,82
02/01/2022,Butchers,3,41,123
02/01/2022,Milk Products,4,29,116
02/01/2022,Milk Products,8,12.5,100
02/01/2022,Beverages,9,33.5,301.5
02/01/2022,Patisserie,10,38,380
03/01/2022,Butchers,3,21.5,64.5
03/01/2022,Butchers,3,36.5,109.5
03/01/2022,Furniture,5,5,25
03/01/2022,Food,5,29,145
03/01/2022,Food,5,35,175
03/01/2022,Electric household essentials,6,32,192
03/01/2022,Patisserie,8,5,40
03/01/2022,Milk Products,9,8,72
04/01/2022,Beverages,4,17,68
04/01/2022,Furniture,4,35,140
04/01/2022,Patisserie,5,26,130
04/01/2022,Beverages,5,27.5,137.5
04/01/2022,Milk Products,6,29,174
04/01/2022,Milk Products,7,14,98
04/01/2022,Milk Products,10,33.5,335
05/01/2022,Electric household essentials,2,33.5,67
05/01/2022,Electric household essentials,2,38,76
05/01/2022,Butchers,3,5,15
05/01/2022,Furniture,4,35,140
05/01/2022,Furniture,5,15.5,77.5
05/01/2022,Milk Products,6,26,156
05/01/2022,Milk Products,7,12.5,87.5
05/01/2022,Food,7,23,161
05/01/2022,Furniture,8,24.5,196
05/01/2022,Computers and electric accessories,8,41,328
05/01/2022,Butchers,9,21.5,193.5
05/01/2022,Butchers,10,33.5,335
05/01/2022,Patisserie,10,39.5,395
06/01/2022,Furniture,2,39.5,79
06/01/2022,Beverages,3,15.5,46.5
06/01/2022,Patisserie,4,5,20
06/01/2022,Butchers,4,11,44
06/01/2022,Butchers,6,11,66
06/01/2022,Computers and electric accessories,6,30.5,183
06/01/2022,Electric household essentials,10,29,290
07/01/2022,Milk Products,1,8,8
07/01/2022,Food,1,32,32
07/01/2022,Patisserie,2,23,46
07/01/2022,Patisserie,2,30.5,61
07/01/2022,Computers and electric accessories,6,33.5,201
07/01/2022,Furniture,7,15.5,108.5
07/01/2022,Beverages,8,9.5,76
07/01/2022,Furniture,8,14,112
07/01/2022,Computers and electric accessories,8,15.5,124
07/01/2022,Butchers,9,41,369
07/01/2022,Milk Products,10,6.5,65
07/01/2022,Computers and electric accessories,10,17,170
08/01/2022,Milk Products,1,26,26
08/01/2022,Food,2,18.5,37
08/01/2022,Butchers,2,21.5,43
08/01/2022,Electric household essentials,2,33.5,67
08/01/2022,Milk Products,3,29,87
08/01/2022,Furniture,3,32,96
08/01/2022,Milk Products,5,18.5,92.5
08/01/2022,Electric household essentials,6,36.5,219
08/01/2022,Milk Products,7,9.5,66.5
08/01/2022,Food,7,23,161
08/01/2022,Computers and electric accessories,9,17,153
08/01/2022,Beverages,10,6.5,65
08/01/2022,Computers and electric accessories,10,35,350
09/01/2022,Milk Products,1,23,23
09/01/2022,Electric household essentials,1,41,41
09/01/2022,Milk Products,2,20,40
09/01/2022,Food,3,11,33
09/01/2022,Patisserie,3,29,87
09/01/2022,Beverages,5,36.5,182.5
09/01/2022,Patisserie,6,32,192
09/01/2022,Beverages,7,24.5,171.5
09/01/2022,Electric household essentials,8,9.5,76
09/01/2022,Milk Products,8,15.5,124
09/01/2022,Furniture,8,24.5,196
09/01/2022,Computers and electric accessories,8,30.5,244
09/01/2022,Milk Products,8,32,256
09/01/2022,Milk Products,10,20,200
10/01/2022,Milk Products,1,20,20
10/01/2022,Electric household essentials,2,15.5,31
10/01/2022,Computers and electric accessories,2,21.5,43
10/01/2022,Food,5,11,55
10/01/2022,Patisserie,6,30.5,183
10/01/2022,Butchers,6,41,246
10/01/2022,Furniture,7,9.5,66.5
